step,thresholds,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count,regime,constraint_satisfied,objective,hard_constraint
initial,"{""d0_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d0_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d0_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7055436529191216,0.7023605884365378,0.6947996589940324,0.6985801237152851,0.6501071237279057,0.698994116530651,0.5547542228126779,0.44524577718732206,0.575,0.43,5269.0,2923.0,2346.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2807980717728978,0.46083922421286133,0.6093189490380648,2923.0,2346.0,5269.0,0.7055436529191216,0.698994116530651,4825.0,0.7573056994818653,0.9950738916256158,3654.0,2643.0,0.6110480514566781,0.02910216718266254,1615.0,,,,
set_d0_asia,"{""d0_asia"": {""t_down"": 0.4, ""t_up"": 0.55}, ""d0_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d0_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7052758435993572,0.7013605442176871,0.695745595186936,0.6985530697023116,0.6501071237279057,0.6988798177330549,0.5581925194607936,0.4418074805392064,0.5738095238095238,0.42857142857142855,5267.0,2940.0,2327.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.28053026245313334,0.4608392242128614,0.6087378150857153,2940.0,2327.0,5267.0,0.7052758435993572,0.6988798177330549,4825.0,0.7566839378238343,0.9953437414407011,3651.0,2643.0,0.6114264093832765,0.029084158415841586,1616.0,day_session,,,
set_d0_asia,"{""d0_asia"": {""t_down"": 0.415, ""t_up"": 0.55}, ""d0_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d0_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7062131762185324,0.7013605442176871,0.694515852613539,0.697938198415613,0.6501071237279057,0.698331437239287,0.5574516496018203,0.44254835039817975,0.5738095238095238,0.4292857142857143,5274.0,2940.0,2334.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.28012854847348684,0.4615650700307843,0.6069101989342555,2940.0,2334.0,5274.0,0.7062131762185324,0.698331437239287,4825.0,0.7573056994818653,0.9950738916256158,3654.0,2643.0,0.6129398410896708,0.029012345679012345,1620.0,day_session,,,
set_d0_asia,"{""d0_asia"": {""t_down"": 0.425, ""t_up"": 0.55}, ""d0_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d0_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7070166041778254,0.7013605442176871,0.6948717948717948,0.698116169544741,0.6501071237279057,0.6984848484848485,0.5568181818181818,0.4431818181818182,0.5738095238095238,0.4297619047619048,5280.0,2940.0,2340.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.28066416711301556,0.46171010226375264,0.6078796321261468,2940.0,2340.0,5280.0,0.7070166041778254,0.6984848484848485,4825.0,0.7583419689119171,0.9950806231210714,3659.0,2643.0,0.6133181990162694,0.028994447871684145,1621.0,day_session,,,
set_d0_asia,"{""d0_asia"": {""t_down"": 0.43, ""t_up"": 0.55}, ""d0_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d0_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7078200321371184,0.7013605442176871,0.6947996589940324,0.6980801016058598,0.6501071237279057,0.6984487325009459,0.5561861520998865,0.4438138479001135,0.5738095238095238,0.43,5286.0,2940.0,2346.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.28093197643277984,0.46200003014303936,0.6080778313927832,2940.0,2346.0,5286.0,0.7078200321371184,0.6984487325009459,4825.0,0.7591709844559585,0.995085995085995,3663.0,2643.0,0.6140749148694665,0.02895871842267406,1623.0,day_session,,,
set_d0_asia,"{""d0_asia"": {""t_down"": 0.435, ""t_up"": 0.55}, ""d0_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d0_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7079539367970006,0.7013605442176871,0.6945036216446527,0.6979320829311699,0.6501071237279057,0.698316625685644,0.5560809532816342,0.4439190467183658,0.5738095238095238,0.43023809523809525,5287.0,2940.0,2347.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2807980717728977,0.4621449258750457,0.6075974354607966,2940.0,2347.0,5287.0,0.7079539367970006,0.698316625685644,4825.0,0.7591709844559585,0.995085995085995,3663.0,2643.0,0.6144532727960651,0.02894088669950739,1624.0,day_session,,,
set_d0_asia,"{""d0_asia"": {""t_down"": 0.445, ""t_up"": 0.55}, ""d0_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d0_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7098286020353508,0.7013605442176871,0.6929267259635747,0.6971436350906309,0.6501071237279057,0.697604225617808,0.55461233729485,0.44538766270514996,0.5738095238095238,0.4307142857142857,5301.0,2940.0,2361.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2805302624531334,0.4633024603767054,0.6055013440356819,2940.0,2361.0,5301.0,0.7098286020353508,0.697604225617808,4825.0,0.7606217616580311,0.9948228882833787,3670.0,2643.0,0.617101778282255,0.028816676885346414,1631.0,day_session,,,
set_d0_asia,"{""d0_asia"": {""t_down"": 0.455, ""t_up"": 0.55}, ""d0_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d0_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7117032672737011,0.7013605442176871,0.6926315789473684,0.6969960615825277,0.6501071237279057,0.6974600188146755,0.5531514581373471,0.4468485418626529,0.5738095238095238,0.4311904761904762,5315.0,2940.0,2375.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.28106588109266206,0.4640244531169877,0.605713511873481,2940.0,2375.0,5315.0,0.7117032672737011,0.6974600188146755,4825.0,0.762279792746114,0.9948341489940185,3678.0,2643.0,0.6193719258418464,0.029321930360415395,1637.0,day_session,,,
set_d0_asia,"{""d0_asia"": {""t_down"": 0.465, ""t_up"": 0.55}, ""d0_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d0_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7125066952329941,0.7013605442176871,0.6917261654766904,0.6965433548471888,0.6501071237279057,0.6970494267994738,0.5525277203533171,0.44747227964668296,0.5738095238095238,0.43166666666666664,5321.0,2940.0,2381.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.28079807177289773,0.46460123948397747,0.604385111164951,2940.0,2381.0,5321.0,0.7125066952329941,0.6970494267994738,4825.0,0.7629015544041451,0.9945666938331975,3681.0,2643.0,0.620506999621642,0.02926829268292683,1640.0,day_session,,,
set_d0_asia,"{""d0_asia"": {""t_down"": 0.4, ""t_up"": 0.56}, ""d0_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d0_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d1_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d2_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d3_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d4_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d5_us"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""d6_us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7047402249598286,0.7016348773841962,0.695745595186936,0.698690236285566,0.6501071237279057,0.6990309709291279,0.5578567357020711,0.44214326429792894,0.5742857142857142,0.42857142857142855,5263.0,2936.0,2327.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2805302624531334,0.460548565575171,0.6091219980302927,2936.0,2327.0,5263.0,0.7047402249598286,0.6990309709291279,4825.0,0.7562694300518135,0.9953411893669498,3649.0,2643.0,0.6106696935300795,0.029120198265179677,1614.0,day_session,,,
